,V1,V2,V4,TEO,9/46d,F5,8m,7A,DP,2,5,7B,STPr,STPi,STPc,PBr,TEpd,24c,F1,F2,F7,ProM,8l,9/46v,46d,8B,10,MT,7m
F7,0,0,0,4.49e-05,5.54e-02,3.90e-05,1.08e-01,9.03e-05,5.68e-04,0,3.14e-04,0,5.02e-05,8.60e-05,7.47e-04,1.31e-04,0,8.05e-02,3.34e-03,2.43e-02,0,0,2.61e-02,8.75e-03,7.37e-03,1.51e-01,3.27e-03,0,1.34e-02
ProM,0,0,0,1.28e-05,3.30e-04,4.55e-02,5.76e-04,0,0,4.24e-02,0,6.63e-04,0,0,0,8.39e-06,0,2.20e-03,3.60e-04,7.88e-05,1.81e-04,0,1.75e-03,9.21e-03,0,0,0,2.98e-06,0
8l,3.19e-04,1.23e-04,1.99e-03,6.08e-03,1.47e-02,8.83e-04,1.85e-01,3.61e-04,0,0,0,0,4.75e-05,0,4.84e-04,2.80e-06,4.59e-03,8.31e-05,0,1.75e-05,3.19e-03,0,0,3.08e-03,6.64e-05,9.35e-04,5.49e-05,2.28e-03,5.78e-04
9_46v,0,0,3.21e-05,3.91e-04,1.68e-02,2.84e-03,9.25e-02,3.80e-03,0,1.04e-02,0,1.27e-02,5.22e-04,0,0,0,1.42e-03,7.48e-04,0,2.54e-04,3.83e-03,2.01e-02,2.49e-02,0,1.16e-04,1.47e-04,2.40e-05,3.87e-05,1.24e-03
46d,0,0,0,1.28e-05,1.96e-01,9.76e-05,1.12e-01,1.46e-02,7.55e-04,1.14e-05,1.88e-04,0,9.75e-03,3.62e-03,6.87e-03,4.12e-03,1.50e-05,4.85e-04,0,0,9.04e-04,1.13e-05,3.91e-02,3.85e-02,0,3.99e-02,2.41e-01,0,4.29e-03
8B,0,0,0,1.28e-05,7.10e-02,4.39e-05,1.71e-02,7.52e-03,1.12e-03,0,0,0,5.81e-04,2.15e-04,8.03e-04,8.98e-04,0,4.29e-02,3.60e-04,1.31e-04,1.03e-01,0,2.06e-02,1.65e-02,3.92e-02,0,1.96e-02,0,3.84e-02
10,0,0,0,0,7.89e-03,9.27e-05,2.11e-03,0,0,0,0,0,3.23e-02,2.40e-02,1.43e-03,8.73e-03,0,1.52e-04,0,0,1.49e-03,0,5.31e-04,2.40e-04,7.51e-02,1.32e-01,0,0,0
MT,5.20e-02,2.99e-02,1.02e-01,2.44e-02,2.25e-04,0,6.87e-04,5.42e-05,1.62e-01,0,0,1.70e-03,1.32e-05,4.30e-05,7.20e-04,0,1.50e-05,0,0,8.76e-06,0,0,2.03e-02,0,1.66e-05,0,0,0,9.14e-04
7m,0,0,0,5.13e-05,3.45e-02,4.88e-06,5.15e-04,2.11e-02,2.35e-04,0,1.82e-03,1.86e-02,0,0,4.15e-05,2.13e-04,0,1.95e-02,0,7.47e-03,5.63e-03,0,1.02e-04,7.78e-04,7.47e-04,2.65e-03,0,0,0
V3,9.48e-03,1.04e-02,1.49e-02,1.23e-01,4.66e-05,4.88e-06,4.91e-05,0,5.04e-03,0,0,0,0,0,0,0,1.90e-04,0,0,0,0,0,5.42e-03,1.17e-05,1.16e-04,0,0,5.10e-02,1.79e-05
